trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,recent_high,recent_low,recent_range,prior_high,prior_low,prior_range,compression_ratio,atr_at_entry,atr_pct_at_entry,bar_range_at_entry,close_location_at_entry,ema_fast_at_entry,ema_slow_at_entry,entry_mode
1,train,short,2024-04-13 20:00:00+00:00,2024-04-13 20:00:00+00:00,64755.616,60816.4602,take_profit,66388.7871,60786.0671,242.2785,2.3747,255.8161,-6.1398,7.8444,67926.0,66444.0,1482.0,70975.54,65086.86,5888.68,0.2517,800.3886,1.2354,3491.54,0.2973,68142.64,68605.8,immediate
2,train,short,2024-04-28 23:00:00+00:00,2024-04-29 22:00:00+00:00,63119.4845,63818.5817,stop_loss,63786.6883,61561.9542,-122.8829,-1.1435,218.0816,-131.5017,20.4459,63976.0,63460.0,516.0,64370.0,62750.0,1620.0,0.3185,317.8192,0.5033,844.76,0.3327,63657.75,64331.51,immediate
3,train,short,2024-05-01 08:00:00+00:00,2024-05-01 18:00:00+00:00,57471.25,58982.3276,stop_loss,58952.8511,53867.8372,-109.2034,-1.0597,63.8802,-138.8813,8.0998,60924.16,59500.55,1423.61,64734.0,59191.6,5542.4,0.2569,726.4306,1.2634,2469.23,0.162,61399.91,63200.17,immediate
4,train,long,2024-05-05 16:00:00+00:00,2024-05-06 12:00:00+00:00,64460.8543,63513.709,stop_loss,63545.4817,66636.5707,-114.3439,-1.1041,117.5668,-126.3744,14.4788,64279.99,63362.0,917.99,64540.0,62822.17,1717.83,0.5344,441.5841,0.6854,656.77,0.6691,62956.81,62092.16,immediate
5,train,short,2024-05-10 15:00:00+00:00,2024-05-13 07:00:00+00:00,61033.3381,62191.1193,stop_loss,62160.0393,58323.4469,-109.8512,-1.0828,76.1969,-127.5619,11.0956,63469.13,62743.88,725.25,63429.03,60630.0,2799.03,0.2591,548.0846,0.8976,2400.33,0.1558,62499.58,62535.44,immediate
6,train,long,2024-05-17 15:00:00+00:00,2024-05-19 19:00:00+00:00,66840.0733,65842.0832,stop_loss,65875.0208,69135.7581,-111.3916,-1.1024,90.0411,-102.9094,13.8929,66564.23,65580.66,983.57,66752.01,64602.77,2149.24,0.4576,465.8196,0.6973,935.19,0.9537,65339.83,63487.28,immediate
7,train,long,2024-05-20 17:00:00+00:00,2024-05-20 20:00:00+00:00,68224.155,70267.7742,take_profit,67344.9137,70302.9257,225.0074,2.2444,250.5182,-22.0503,15.7913,67487.0,66750.0,737.0,67700.0,65857.25,1842.75,0.3999,422.5731,0.6197,891.66,0.9147,66838.7,65276.16,immediate
8,train,long,2024-06-04 14:00:00+00:00,2024-06-05 15:00:00+00:00,69562.754,71407.8645,take_profit,68761.7515,71443.5863,228.0984,2.2144,278.8817,-31.2452,18.1288,69191.99,68567.32,624.67,70288.0,68441.16,1846.84,0.3382,383.1193,0.551,884.2,0.6576,68770.03,68347.26,immediate
9,train,short,2024-06-14 16:00:00+00:00,2024-06-17 18:00:00+00:00,66358.804,67235.4087,stop_loss,67201.8078,64367.4806,-117.4018,-1.1196,159.3159,-116.9249,16.6174,67370.24,66561.3,808.94,68449.3,66251.78,2197.52,0.3681,404.9039,0.6099,714.79,0.0662,67289.39,68352.93,immediate
10,train,long,2024-07-15 23:00:00+00:00,2024-07-16 06:00:00+00:00,64375.7718,63210.0297,stop_loss,63241.6505,67098.4737,-110.9379,-1.0836,55.8031,-142.7871,11.5172,63820.15,62731.48,1088.67,63243.71,59466.67,3777.04,0.2882,550.9747,0.8563,1274.12,0.6558,61575.77,59409.66,immediate
