trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
1,train,short,2024-04-13 20:00:00+00:00,64755.616,64788.01,2024-04-13 20:00:00+00:00,60816.4602,take_profit,66388.7871,60786.0671,0.06246966,4.0453,3.7992,7.8444,246.0777,242.2785,2.3747,255.8161,-6.1398,10000.0,10238.2333,SHORT relative squeeze breakout | recent_low=66444.0 ratio=0.25
2,train,short,2024-04-28 23:00:00+00:00,63119.4845,63151.05,2024-04-29 22:00:00+00:00,63818.5817,stop_loss,63786.6883,61561.9542,0.16107011,10.1667,10.2793,20.4459,-112.6037,-122.8829,-1.1435,218.0816,-131.5017,10238.2333,10105.1837,SHORT relative squeeze breakout | recent_low=63460.0 ratio=0.32
3,train,short,2024-05-01 08:00:00+00:00,57471.25,57499.99,2024-05-01 18:00:00+00:00,58982.3276,stop_loss,58952.8511,53867.8372,0.06955368,3.9973,4.1024,8.0998,-105.101,-109.2034,-1.0597,63.8802,-138.8813,10105.1837,9991.9829,SHORT relative squeeze breakout | recent_low=59500.6 ratio=0.26
4,train,long,2024-05-05 16:00:00+00:00,64460.8543,64428.65,2024-05-06 12:00:00+00:00,63513.709,stop_loss,63545.4817,66636.5707,0.11313793,7.293,7.1858,14.4788,-107.1581,-114.3439,-1.1041,117.5668,-126.3744,9991.9829,9870.3461,LONG relative squeeze breakout | recent_high=64280.0 ratio=0.53
5,train,short,2024-05-10 15:00:00+00:00,61033.3381,61063.87,2024-05-13 07:00:00+00:00,62191.1193,stop_loss,62160.0393,58323.4469,0.090044,5.4957,5.5999,11.0956,-104.2512,-109.8512,-1.0828,76.1969,-127.5619,9870.3461,9754.9992,SHORT relative squeeze breakout | recent_low=62743.9 ratio=0.26
6,train,long,2024-05-17 15:00:00+00:00,66840.0733,66806.66,2024-05-19 19:00:00+00:00,65842.0832,stop_loss,65875.0208,69135.7581,0.1047079,6.9987,6.8942,13.8929,-104.4974,-111.3916,-1.1024,90.0411,-102.9094,9754.9992,9636.6089,LONG relative squeeze breakout | recent_high=66564.2 ratio=0.46
7,train,long,2024-05-20 17:00:00+00:00,68224.155,68190.06,2024-05-20 20:00:00+00:00,70267.7742,take_profit,67344.9137,70302.9257,0.11402297,7.7791,8.0121,15.7913,233.0195,225.0074,2.2444,250.5182,-22.0503,9636.6089,9853.8371,LONG relative squeeze breakout | recent_high=67487.0 ratio=0.40
8,train,long,2024-06-04 14:00:00+00:00,69562.754,69527.99,2024-06-05 15:00:00+00:00,71407.8645,take_profit,68761.7515,71443.5863,0.12860013,8.9458,9.1831,18.1288,237.2814,228.0984,2.2144,278.8817,-31.2452,9853.8371,10072.9898,LONG relative squeeze breakout | recent_high=69192.0 ratio=0.34
9,train,short,2024-06-14 16:00:00+00:00,66358.804,66392.0,2024-06-17 18:00:00+00:00,67235.4087,stop_loss,67201.8078,64367.4806,0.12438742,8.2542,8.3632,16.6174,-109.0386,-117.4018,-1.1196,159.3159,-116.9249,10072.9898,9947.3337,SHORT relative squeeze breakout | recent_low=66561.3 ratio=0.37
10,train,long,2024-07-15 23:00:00+00:00,64375.7718,64343.6,2024-07-16 06:00:00+00:00,63210.0297,stop_loss,63241.6505,67098.4737,0.09027032,5.8112,5.706,11.5172,-105.2319,-110.9379,-1.0836,55.8031,-142.7871,9947.3337,9830.5846,LONG relative squeeze breakout | recent_high=63820.2 ratio=0.29
