rsi_oversold,r_multiple,sl_lookback,label,strategy,period_start,period_end,total_trades,win_rate,profit_factor,avg_r_multiple,expectancy,total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,sortino_ratio,exposure_pct,exit_take_profit,exit_stop_loss
25,1.5,3,train_sweep_0,MeanReversion_v1,2024-04-02,2025-06-14,126,0.3889,0.7252,-0.4615,-16.21,-30.83,6916.87,32.31,-4.761,-5.5491,0.0097,49,77
25,1.5,5,train_sweep_1,MeanReversion_v1,2024-04-02,2025-06-14,126,0.3889,0.7263,-0.4607,-16.16,-30.75,6925.43,32.23,-4.7479,-5.5287,0.0098,49,77
25,1.5,8,train_sweep_2,MeanReversion_v1,2024-04-02,2025-06-14,126,0.3889,0.7263,-0.4607,-16.16,-30.75,6925.43,32.23,-4.7479,-5.5287,0.0098,49,77
25,2.0,3,train_sweep_3,MeanReversion_v1,2024-04-02,2025-06-14,124,0.3065,0.6825,-0.5119,-18.28,-32.67,6733.31,34.71,-4.5369,-5.3696,0.0141,38,86
25,2.0,5,train_sweep_4,MeanReversion_v1,2024-04-02,2025-06-14,124,0.3065,0.6835,-0.511,-18.24,-32.58,6741.59,34.63,-4.5452,-5.3828,0.0141,38,86
25,2.0,8,train_sweep_5,MeanReversion_v1,2024-04-02,2025-06-14,124,0.3065,0.6835,-0.511,-18.24,-32.58,6741.59,34.63,-4.5452,-5.3828,0.0141,38,86
25,2.5,3,train_sweep_6,MeanReversion_v1,2024-04-02,2025-06-14,124,0.2823,0.7773,-0.4501,-15.63,-29.49,7051.17,30.94,-3.7494,-4.6012,0.0203,35,89
25,2.5,5,train_sweep_7,MeanReversion_v1,2024-04-02,2025-06-14,124,0.2823,0.7782,-0.4491,-15.59,-29.4,7059.81,30.85,-3.7493,-4.6075,0.0204,35,89
25,2.5,8,train_sweep_8,MeanReversion_v1,2024-04-02,2025-06-14,124,0.2823,0.7782,-0.4491,-15.59,-29.4,7059.81,30.85,-3.7493,-4.6075,0.0204,35,89
30,1.5,3,train_sweep_9,MeanReversion_v1,2024-04-02,2025-06-14,227,0.3789,0.64,-0.499,-15.67,-51.41,4858.98,52.02,-7.0913,-7.966,0.0166,86,141
30,1.5,5,train_sweep_10,MeanReversion_v1,2024-04-02,2025-06-14,227,0.3789,0.6407,-0.4986,-15.65,-51.35,4864.99,51.96,-7.0809,-7.9498,0.0167,86,141
30,1.5,8,train_sweep_11,MeanReversion_v1,2024-04-02,2025-06-14,227,0.3789,0.6407,-0.4986,-15.65,-51.35,4864.99,51.96,-7.0809,-7.9498,0.0167,86,141
30,2.0,3,train_sweep_12,MeanReversion_v1,2024-04-02,2025-06-14,223,0.3184,0.6805,-0.4924,-15.63,-50.62,4938.2,51.84,-6.287,-7.301,0.0218,71,152
30,2.0,5,train_sweep_13,MeanReversion_v1,2024-04-02,2025-06-14,223,0.3184,0.6811,-0.4919,-15.61,-50.56,4944.28,51.78,-6.2959,-7.3134,0.0218,71,152
30,2.0,8,train_sweep_14,MeanReversion_v1,2024-04-02,2025-06-14,223,0.3184,0.6811,-0.4919,-15.61,-50.56,4944.28,51.78,-6.2959,-7.3134,0.0218,71,152
30,2.5,3,train_sweep_15,MeanReversion_v1,2024-04-02,2025-06-14,221,0.2896,0.7464,-0.4408,-14.25,-47.21,5279.11,47.78,-5.2853,-6.3935,0.03,64,157
30,2.5,5,train_sweep_16,MeanReversion_v1,2024-04-02,2025-06-14,221,0.2896,0.747,-0.4402,-14.23,-47.14,5285.58,47.72,-5.2866,-6.4003,0.03,64,157
30,2.5,8,train_sweep_17,MeanReversion_v1,2024-04-02,2025-06-14,221,0.2896,0.747,-0.4402,-14.23,-47.14,5285.58,47.72,-5.2866,-6.4003,0.03,64,157
35,1.5,3,train_sweep_18,MeanReversion_v1,2024-04-02,2025-06-14,310,0.3452,0.6341,-0.5697,-14.73,-65.53,3446.82,66.18,-8.2272,-9.3685,0.0264,107,203
35,1.5,5,train_sweep_19,MeanReversion_v1,2024-04-02,2025-06-14,310,0.3452,0.6318,-0.5694,-14.78,-65.65,3434.83,66.3,-8.2326,-9.3677,0.0264,107,203
35,1.5,8,train_sweep_20,MeanReversion_v1,2024-04-02,2025-06-14,310,0.3452,0.6318,-0.5694,-14.78,-65.65,3434.83,66.3,-8.2326,-9.3677,0.0264,107,203
35,2.0,3,train_sweep_21,MeanReversion_v1,2024-04-02,2025-06-14,302,0.2748,0.6485,-0.6039,-15.16,-65.12,3487.96,66.01,-7.5809,-8.8124,0.0347,83,219
35,2.0,5,train_sweep_22,MeanReversion_v1,2024-04-02,2025-06-14,302,0.2748,0.6462,-0.6035,-15.21,-65.24,3475.83,66.12,-7.5886,-8.8147,0.0347,83,219
35,2.0,8,train_sweep_23,MeanReversion_v1,2024-04-02,2025-06-14,302,0.2748,0.6462,-0.6035,-15.21,-65.24,3475.83,66.12,-7.5886,-8.8147,0.0347,83,219
35,2.5,3,train_sweep_24,MeanReversion_v1,2024-04-02,2025-06-14,294,0.2415,0.6594,-0.5887,-15.27,-63.65,3634.79,64.3,-6.7601,-8.1197,0.0526,71,223
35,2.5,5,train_sweep_25,MeanReversion_v1,2024-04-02,2025-06-14,294,0.2415,0.657,-0.5883,-15.33,-63.78,3622.15,64.42,-6.7698,-8.1247,0.0526,71,223
35,2.5,8,train_sweep_26,MeanReversion_v1,2024-04-02,2025-06-14,294,0.2415,0.657,-0.5883,-15.33,-63.78,3622.15,64.42,-6.7698,-8.1247,0.0526,71,223
