trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
1,train,long,2025-04-02 22:45:00+00:00,82779.0088,82737.63,2025-04-02 23:00:00+00:00,82448.1724,stop_loss,82489.4171,83234.0558,0.12086399,10.005,9.965,19.97,-39.9862,-49.9512,-1.4271,41.9387,-55.4776,10000.0,9940.0438,RSI=27.1 BB_lower=83047.0 close=82737.6 swing_low=82706.7
2,train,long,2025-04-03 12:45:00+00:00,82229.104,82188.01,2025-04-03 12:45:00+00:00,81900.4752,stop_loss,81941.446,82681.1381,0.12094275,9.945,9.9053,19.8503,-39.7453,-49.6505,-1.4271,4.3583,-41.0968,9940.0438,9880.4482,RSI=24.9 BB_lower=82552.9 close=82188.0 swing_low=82188.0
3,train,long,2025-04-04 11:15:00+00:00,82194.7068,82153.64,2025-04-04 11:15:00+00:00,81863.9096,stop_loss,81904.862,82651.196,0.12026793,9.8854,9.8456,19.731,-39.7843,-49.6299,-1.4237,15.4007,-62.1433,9880.4482,9820.9329,RSI=28.8 BB_lower=82237.2 close=82153.6 swing_low=82069.0
4,train,long,2025-04-06 17:45:00+00:00,81158.549,81117.99,2025-04-06 17:45:00+00:00,80834.1987,stop_loss,80874.636,81604.6979,0.12106973,9.8258,9.7866,19.6124,-39.269,-49.0556,-1.4271,38.3829,-72.224,9820.9329,9762.0515,RSI=20.1 BB_lower=81497.7 close=81118.0 swing_low=81082.5
5,train,long,2025-04-06 18:45:00+00:00,79199.0197,79159.43,2025-04-06 18:45:00+00:00,78882.4907,stop_loss,78921.9517,79634.3866,0.1233214,9.7669,9.7279,19.4948,-39.0348,-48.7627,-1.4271,26.9877,-62.1576,9762.0515,9703.5219,RSI=9.7 BB_lower=79761.7 close=79159.4 swing_low=79151.4
6,train,long,2025-04-06 23:00:00+00:00,78102.7018,78063.66,2025-04-06 23:00:00+00:00,77605.5778,stop_loss,77644.4,78902.18,0.12430268,9.7084,9.6466,19.355,-61.7938,-71.4404,-1.254,12.0932,-99.2808,9703.5219,9622.3731,RSI=22.5 BB_lower=78263.9 close=78063.7 swing_low=77800.0
7,train,long,2025-04-07 06:30:00+00:00,75855.899,75817.99,2025-04-07 06:30:00+00:00,75510.9953,stop_loss,75548.7697,76356.4307,0.12691411,9.6272,9.5834,19.2106,-43.7732,-53.3566,-1.3689,3.7606,-108.6257,9622.3731,9559.3893,RSI=27.2 BB_lower=75946.2 close=75818.0 swing_low=75700.2
8,train,long,2025-04-08 16:45:00+00:00,77578.77,77540.01,2025-04-08 17:00:00+00:00,77206.5774,stop_loss,77245.2,78129.63,0.12328331,9.5642,9.5183,19.0825,-45.8851,-55.4034,-1.3472,35.2381,-88.1981,9559.3893,9494.4218,RSI=27.4 BB_lower=77541.8 close=77540.0 swing_low=77400.0
9,train,long,2025-04-09 01:15:00+00:00,75353.688,75316.03,2025-04-09 01:15:00+00:00,75052.5369,stop_loss,75090.0819,75767.9262,0.1260611,9.4992,9.4612,18.9604,-37.9634,-47.4247,-1.4271,20.8684,-92.4895,9494.4218,9437.4979,RSI=26.3 BB_lower=75862.6 close=75316.0 swing_low=75284.2
10,train,long,2025-04-10 15:45:00+00:00,79256.9987,79217.4,2025-04-10 15:45:00+00:00,78940.2579,stop_loss,78979.7478,79692.7044,0.11913415,9.4422,9.4045,18.8467,-37.7346,-47.1391,-1.4272,0.0,-77.549,9437.4979,9380.9166,RSI=25.1 BB_lower=80002.6 close=79217.4 swing_low=79154.5
11,train,long,2025-04-13 14:00:00+00:00,83640.9196,83599.13,2025-04-13 14:30:00+00:00,84113.8229,take_profit,83320.7446,84155.9009,0.11221309,9.3856,9.4387,18.8243,53.0659,43.6273,1.2143,59.0286,-17.9821,9380.9166,9415.1583,RSI=29.7 BB_lower=83822.3 close=83599.1 swing_low=83487.7
12,train,long,2025-04-23 15:30:00+00:00,92210.072,92164.0,2025-04-23 15:45:00+00:00,92942.4272,take_profit,91751.5392,92988.9216,0.10215657,9.4199,9.4947,18.9145,74.8149,65.3202,1.3945,105.0985,-18.8614,9415.1583,9471.0586,RSI=28.7 BB_lower=92515.9 close=92164.0 swing_low=91935.4
13,train,long,2025-04-30 14:00:00+00:00,93079.0963,93032.58,2025-04-30 14:00:00+00:00,93543.9801,take_profit,92753.4823,93590.7755,0.10180368,9.4758,9.5231,18.9989,47.3269,37.8038,1.1404,53.0961,-17.2146,9471.0586,9499.3866,RSI=21.7 BB_lower=93727.6 close=93032.6 swing_low=93026.0
14,train,long,2025-05-12 18:30:00+00:00,101694.3318,101643.78,2025-05-12 18:30:00+00:00,101288.1792,stop_loss,101338.8487,102253.6427,0.09345763,9.5041,9.4662,18.9703,-37.9581,-47.4242,-1.4275,5.3624,-57.8345,9499.3866,9442.4583,RSI=27.6 BB_lower=101741.5 close=101643.8 swing_low=101626.1
15,train,long,2025-05-23 12:00:00+00:00,109130.8982,109076.35,2025-05-23 12:00:00+00:00,108615.8889,stop_loss,108670.224,109888.602,0.08656742,9.4472,9.4026,18.8498,-44.583,-53.9856,-1.3537,0.0,-101.9512,9442.4583,9379.0255,RSI=19.8 BB_lower=109943.4 close=109076.4 swing_low=108888.0
16,train,long,2025-05-29 14:30:00+00:00,107099.0928,107045.56,2025-05-29 14:30:00+00:00,106671.0611,stop_loss,106724.4233,107687.8334,0.08761714,9.3837,9.3462,18.7299,-37.5029,-46.8491,-1.4271,10.3868,-54.7688,9379.0255,9322.7926,RSI=22.7 BB_lower=107342.7 close=107045.6 swing_low=106939.0
17,train,long,2025-05-30 17:00:00+00:00,103950.6994,103898.75,2025-05-30 18:15:00+00:00,104645.308,take_profit,103499.2966,104697.6568,0.08972959,9.3275,9.3898,18.7172,62.327,52.9372,1.307,77.0625,-10.2892,9322.7926,9366.4023,RSI=27.2 BB_lower=104399.4 close=103898.8 swing_low=103706.7
18,train,long,2025-06-05 17:00:00+00:00,103314.1713,103262.53,2025-06-05 18:00:00+00:00,102901.266,stop_loss,102952.7424,103882.1052,0.09070475,9.3711,9.3336,18.7047,-37.4525,-46.7861,-1.4271,24.2389,-54.8193,9366.4023,9310.2451,RSI=28.3 BB_lower=103406.3 close=103262.5 swing_low=103258.0
19,train,long,2025-06-05 20:45:00+00:00,100896.353,100845.93,2025-06-05 20:45:00+00:00,100493.1205,stop_loss,100543.3922,101451.0056,0.09232148,9.3149,9.2777,18.5926,-37.227,-46.5047,-1.4271,31.1536,-48.385,9310.2451,9254.4256,RSI=18.7 BB_lower=101012.3 close=100845.9 swing_low=100763.6
20,train,long,2025-06-11 18:30:00+00:00,108608.5671,108554.3,2025-06-11 21:00:00+00:00,109162.7499,take_profit,108222.7707,109217.3586,0.08525158,9.2591,9.3063,18.5653,47.245,37.9387,1.1535,52.0838,-16.7568,9254.4256,9283.1052,RSI=29.2 BB_lower=108765.1 close=108554.3 swing_low=108439.6
21,train,long,2025-06-13 00:15:00+00:00,104380.8443,104328.68,2025-06-13 00:15:00+00:00,103780.004,stop_loss,103831.92,105322.2,0.08897942,9.2877,9.2343,18.522,-53.4624,-62.6967,-1.2836,20.3688,-71.6724,9283.1052,9211.1207,RSI=24.6 BB_lower=104790.0 close=104328.7 swing_low=104040.0
22,train,long,2025-06-13 01:15:00+00:00,102957.8132,102906.36,2025-06-13 01:45:00+00:00,103749.2167,take_profit,102458.9814,103801.1172,0.08950973,9.2157,9.2866,18.5023,70.8383,61.5518,1.3785,87.7891,-6.9516,9211.1207,9263.4567,RSI=19.7 BB_lower=103352.7 close=102906.4 swing_low=102664.3
23,train,long,2025-06-17 00:15:00+00:00,106285.0159,106231.89,2025-06-17 00:15:00+00:00,106815.8467,take_profit,105913.1943,106869.2813,0.08720034,9.2681,9.3144,18.5825,46.2886,36.9742,1.1404,55.9481,-14.7949,9263.4567,9291.1629,RSI=26.1 BB_lower=106679.7 close=106231.9 swing_low=106147.6
24,train,long,2025-06-20 15:00:00+00:00,103991.98,103940.01,2025-06-20 15:30:00+00:00,104511.3682,take_profit,103628.19,104563.6501,0.08938967,9.2958,9.3422,18.638,46.4279,37.0857,1.1404,56.4371,-9.2947,9291.1629,9318.9528,RSI=17.3 BB_lower=104736.6 close=103940.0 swing_low=103888.0
25,train,long,2025-06-21 22:00:00+00:00,101506.3378,101455.61,2025-06-21 23:45:00+00:00,100857.3261,stop_loss,100907.78,102551.27,0.09185251,9.3236,9.264,18.5876,-59.6134,-68.8774,-1.2528,74.9583,-61.3977,9318.9528,9240.7518,RSI=22.5 BB_lower=101561.3 close=101455.6 swing_low=101110.0
26,train,long,2025-06-22 13:30:00+00:00,101110.55,101060.03,2025-06-22 13:30:00+00:00,100706.4715,stop_loss,100756.8499,101666.3902,0.09143825,9.2454,9.2084,18.4538,-36.9482,-46.1567,-1.4272,0.0,-76.9727,9240.7518,9185.3498,RSI=22.6 BB_lower=101753.9 close=101060.0 swing_low=101011.0
27,train,long,2025-06-22 14:30:00+00:00,99587.4789,99537.71,2025-06-22 14:30:00+00:00,99151.5994,stop_loss,99201.2,100210.73,0.0922801,9.1899,9.1497,18.3397,-40.223,-49.3727,-1.3851,56.9406,-48.0889,9185.3498,9126.7871,RSI=20.9 BB_lower=100111.5 close=99537.7 swing_low=99400.0
28,train,long,2025-07-14 16:00:00+00:00,119938.1591,119878.23,2025-07-14 16:00:00+00:00,119312.7904,stop_loss,119372.4766,120889.7368,0.07613382,9.1313,9.0837,18.2151,-47.6117,-56.6954,-1.3164,0.0,-44.7788,9126.7871,9060.9603,RSI=25.0 BB_lower=120145.5 close=119878.2 swing_low=119611.7
29,train,long,2025-07-18 08:45:00+00:00,118511.7262,118452.5,2025-07-18 10:45:00+00:00,119103.6334,take_profit,118097.1425,119163.215,0.07649446,9.0655,9.1108,18.1763,45.2776,36.1669,1.1404,57.2373,-7.5237,9060.9603,9088.0617,RSI=27.5 BB_lower=118883.6 close=118452.5 swing_low=118395.0
30,train,long,2025-07-25 03:45:00+00:00,115457.7,115400.0,2025-07-25 04:45:00+00:00,116034.3538,take_profit,115053.8,116092.4,0.0787527,9.0926,9.138,18.2306,45.413,36.275,1.1404,54.0976,-26.9886,9088.0617,9115.2441,RSI=7.5 BB_lower=115702.3 close=115400.0 swing_low=115349.6
31,train,long,2025-07-30 19:00:00+00:00,116581.4116,116523.14,2025-07-30 19:00:00+00:00,116115.4838,stop_loss,116173.5706,117222.2788,0.0782269,9.1198,9.0834,18.2032,-36.4481,-45.5314,-1.4271,0.0,-61.4223,9115.2441,9060.5929,RSI=24.3 BB_lower=117020.9 close=116523.1 swing_low=116509.5
32,train,long,2025-08-05 14:45:00+00:00,112832.388,112776.01,2025-08-05 17:15:00+00:00,113395.9397,take_profit,112437.682,113452.6661,0.08034149,9.0651,9.1104,18.1755,45.2766,36.1662,1.1405,51.7168,-14.6533,9060.5929,9087.6939,RSI=24.7 BB_lower=113191.5 close=112776.0 swing_low=112750.0
33,train,long,2025-08-14 12:45:00+00:00,119591.1757,119531.42,2025-08-14 18:15:00+00:00,117338.0376,stop_loss,117396.736,123800.788,0.04257161,5.0912,4.9953,10.0865,-95.9197,-100.915,-1.0802,6.0305,-102.6476,9087.6939,8981.6878,RSI=21.9 BB_lower=120178.0 close=119531.4 swing_low=117632.0
34,train,long,2025-08-18 02:15:00+00:00,116053.1976,115995.2,2025-08-18 02:45:00+00:00,115589.3908,stop_loss,115647.2144,116691.1712,0.07743155,8.9862,8.9503,17.9364,-35.9133,-44.8635,-1.4271,1.3591,-58.8888,8981.6878,8927.838,RSI=19.0 BB_lower=116228.7 close=115995.2 swing_low=115911.0
35,train,long,2025-08-19 14:30:00+00:00,114196.2196,114139.16,2025-08-19 14:45:00+00:00,113739.8441,stop_loss,113796.7425,114823.995,0.07821889,8.9323,8.8966,17.8289,-35.6972,-44.5938,-1.4272,21.5712,-33.3118,8927.838,8874.312,RSI=26.9 BB_lower=114675.9 close=114139.2 swing_low=114125.1
36,train,long,2025-08-24 19:45:00+00:00,113135.8597,113079.32,2025-08-25 20:00:00+00:00,110403.4107,stop_loss,110458.64,118320.68,0.03386263,3.8311,3.7385,7.5696,-92.5279,-96.2665,-1.0619,18.8652,-106.1885,8874.312,8774.2144,RSI=26.2 BB_lower=113770.1 close=113079.3 swing_low=110680.0
37,train,long,2025-08-25 21:00:00+00:00,109616.741,109561.96,2025-08-25 22:15:00+00:00,110288.2483,take_profit,109171.23,110343.42,0.0800845,8.7786,8.8324,17.611,53.7773,44.9449,1.2597,60.7704,-27.4402,8774.2144,8810.3808,RSI=25.7 BB_lower=109757.1 close=109562.0 swing_low=109390.0
38,train,long,2025-08-29 07:45:00+00:00,110116.3407,110061.31,2025-08-29 08:30:00+00:00,109676.2605,stop_loss,109731.1261,110721.6779,0.08004975,8.8148,8.7796,17.5943,-35.2283,-44.0079,-1.4271,12.3244,-32.3137,8810.3808,8757.5581,RSI=22.7 BB_lower=110308.5 close=110061.3 swing_low=110061.3
39,train,long,2025-08-29 14:00:00+00:00,109160.6931,109106.14,2025-08-29 14:00:00+00:00,108627.8589,stop_loss,108682.2,109954.02,0.08026641,8.7619,8.7192,17.4811,-42.7687,-51.4879,-1.3406,32.0622,-53.0315,8757.5581,8697.3083,RSI=28.6 BB_lower=109266.7 close=109106.1 swing_low=108900.0
