trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
1,train,long,2024-04-04 14:15:00+00:00,67622.2542,67588.45,2024-04-04 17:45:00+00:00,68332.336,take_profit,67277.2223,68366.5193,0.14795427,10.005,10.1101,20.1151,105.0596,94.9496,1.86,188.4709,-31.577,10000.0,10084.9446,LONG resume above prev_high=67500.0 | pullbacks=1 ATR%=0.38%
2,train,long,2024-04-05 02:00:00+00:00,68194.08,68160.0,2024-04-05 02:15:00+00:00,67755.4007,stop_loss,67789.2954,69086.7616,0.14795987,10.09,10.0251,20.1151,-64.9069,-74.932,-1.2511,0.0,-69.0677,10084.9446,9999.9226,LONG resume above prev_high=68136.7 | pullbacks=2 ATR%=0.45%
3,train,long,2024-04-05 13:00:00+00:00,66917.432,66883.99,2024-04-05 14:30:00+00:00,67938.1675,take_profit,66448.7246,67972.1536,0.14951145,10.0049,10.1575,20.1625,152.6117,142.4541,2.0328,200.9401,-58.7957,9999.9226,10132.3718,LONG resume above prev_high=66739.4 | pullbacks=1 ATR%=0.54%
4,train,long,2024-04-08 09:00:00+00:00,72003.984,71968.0,2024-04-08 14:00:00+00:00,71551.0747,stop_loss,71586.8681,72920.8297,0.14078996,10.1374,10.0737,20.2111,-63.7651,-73.8388,-1.2573,111.7881,-60.819,10132.3718,10048.3956,LONG resume above prev_high=71312.0 | pullbacks=2 ATR%=0.44%
5,train,long,2024-04-09 02:15:00+00:00,71414.9196,71379.23,2024-04-09 04:15:00+00:00,71055.1629,stop_loss,71090.7082,72100.5345,0.14077478,10.0534,10.0028,20.0562,-50.6447,-60.6475,-1.3288,31.963,-70.0664,10048.3956,9977.6947,LONG resume above prev_high=71341.2 | pullbacks=1 ATR%=0.34%
6,train,short,2024-04-10 02:30:00+00:00,69033.466,69068.01,2024-04-10 05:30:00+00:00,69435.1509,stop_loss,69400.4507,68236.9083,0.14446188,9.9727,10.0307,20.0034,-58.0282,-68.0589,-1.2838,81.8862,-55.0016,9977.6947,9899.6631,SHORT resume below prev_low=69240.0 | pullbacks=2 ATR%=0.40%
7,train,short,2024-04-10 13:15:00+00:00,67582.202,67616.02,2024-04-10 13:45:00+00:00,68030.4888,stop_loss,67996.4905,66664.8437,0.14641002,9.8947,9.9603,19.8551,-65.6337,-75.594,-1.2463,9.3998,-107.0108,9899.6631,9814.1744,SHORT resume below prev_low=67808.1 | pullbacks=1 ATR%=0.47%
8,train,short,2024-04-12 17:15:00+00:00,68537.6041,68571.88,2024-04-12 17:15:00+00:00,67618.0178,take_profit,68966.9417,67584.2256,0.14312243,9.8093,9.6777,19.4869,131.6134,121.9358,1.9844,156.5193,-24.9585,9814.1744,9926.3009,SHORT resume below prev_low=68685.0 | pullbacks=1 ATR%=0.48%
9,train,short,2024-04-13 01:45:00+00:00,66239.4237,66272.56,2024-04-13 03:00:00+00:00,66697.9436,stop_loss,66664.6113,65292.4317,0.14977995,9.9213,9.99,19.9114,-68.6771,-78.6671,-1.2353,76.1112,-74.2214,9926.3009,9837.7124,SHORT resume below prev_low=66452.0 | pullbacks=1 ATR%=0.49%
10,train,short,2024-04-13 21:00:00+00:00,61785.102,61816.02,2024-04-13 21:45:00+00:00,62856.311,stop_loss,62824.8985,59293.8237,0.09751137,6.0247,6.1292,12.154,-104.4551,-110.5843,-1.0907,8.981,-114.5152,9837.7124,9721.1034,SHORT resume below prev_low=62065.4 | pullbacks=1 ATR%=1.36%
11,train,short,2024-04-15 18:30:00+00:00,63445.2515,63476.99,2024-04-16 04:45:00+00:00,62019.8476,take_profit,64072.2447,61988.8532,0.15314374,9.7162,9.498,19.2142,218.2917,208.7937,2.1745,270.3372,-69.5944,9721.1034,9920.1809,SHORT resume below prev_low=63737.2 | pullbacks=1 ATR%=0.78%
