trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,fold_8_oos,short,2025-11-19 14:30:00+00:00,2025-11-19 14:30:00+00:00,91076.379,91552.0584,stop_loss,91506.3053,90160.9918,-62.2497,-1.3194,0.0,-85.7007,20.0422,short,1,3,320.3127,0.3515,91632.09,92226.07
2,fold_8_oos,short,2025-11-19 16:30:00+00:00,2025-11-19 21:15:00+00:00,89651.5118,90347.9746,stop_loss,90302.8232,88180.237,-87.0856,-1.208,115.4978,-132.6508,19.9227,short,1,2,505.3777,0.5634,91412.72,92123.07
3,fold_8_oos,short,2025-11-20 17:45:00+00:00,2025-11-20 18:00:00+00:00,86714.9708,87667.7559,stop_loss,87623.9439,84594.4002,-117.8956,-1.1446,9.5693,-113.11,19.7596,short,1,6,721.3199,0.8314,90591.73,91436.72
4,fold_8_oos,short,2025-11-21 04:15:00+00:00,2025-11-21 05:15:00+00:00,85661.6577,86388.7062,stop_loss,86345.5334,84101.9865,-92.0932,-1.1895,29.165,-77.9306,19.4787,short,2,5,534.1778,0.6233,87443.26,89865.28
5,fold_8_oos,short,2025-11-21 08:45:00+00:00,2025-11-21 10:00:00+00:00,83749.3744,81868.5844,take_profit,84576.7098,81827.6705,206.1297,2.1744,232.9028,-27.3888,18.9774,short,1,4,654.5332,0.7811,86311.5,89121.72
6,fold_8_oos,short,2025-11-22 10:30:00+00:00,2025-11-22 11:15:00+00:00,83644.3369,84131.9645,stop_loss,84089.9196,82676.7961,-66.9402,-1.2832,16.8986,-76.1511,19.6428,short,1,3,336.458,0.402,84354.0,85970.83
7,fold_8_oos,short,2025-11-23 03:00:00+00:00,2025-11-23 04:00:00+00:00,85957.3398,86433.1595,stop_loss,86389.9645,85026.2788,-63.5542,-1.2996,15.4473,-62.2291,19.4861,short,2,4,324.6871,0.3775,84952.17,85366.43
8,fold_8_oos,long,2025-11-23 17:30:00+00:00,2025-11-23 21:45:00+00:00,86932.6846,87866.2765,take_profit,86480.8433,87910.2317,93.9053,1.8717,118.5096,-36.4745,19.4088,long,1,3,340.3306,0.3917,86420.34,85836.3
9,fold_8_oos,long,2025-11-24 02:00:00+00:00,2025-11-24 04:15:00+00:00,87112.0443,86507.1185,stop_loss,86550.3937,88363.8007,-77.2844,-1.2311,105.8944,-73.9995,19.4062,long,2,5,431.7636,0.4959,86953.94,86225.58
10,fold_8_oos,long,2025-11-24 16:15:00+00:00,2025-11-24 17:45:00+00:00,86931.0338,88257.035,take_profit,86322.1518,88301.1856,137.3963,2.0328,179.7895,-5.4619,19.4468,long,1,5,471.1985,0.5423,86489.57,86392.01
