label,strategy,period_start,period_end,total_trades,win_rate,profit_factor,avg_r_multiple,expectancy,total_return_pct,final_equity,max_drawdown_pct,sharpe_ratio,sortino_ratio,exposure_pct,exit_stop_loss,exit_take_profit,exit_end_of_data
fold_1_oos,MomentumContinuation_v1,2025-06-24,2025-07-15,4,0.25,0.5335,-0.5305,-29.31,-1.57,9843.06,1.57,-5.3799,-6.6987,0.0215,3,1,
fold_2_oos,MomentumContinuation_v1,2025-07-15,2025-08-05,4,0.25,0.7316,-0.513,-20.23,-1.2,9879.51,2.99,-4.1387,-5.4437,0.0265,3,1,
fold_3_oos,MomentumContinuation_v1,2025-08-05,2025-08-26,7,0.2857,0.6672,-0.402,-23.93,-2.37,9762.89,2.69,-5.5526,-6.8362,0.072,5,2,
fold_4_oos,MomentumContinuation_v1,2025-08-26,2025-09-15,1,0.0,0.0,-1.3438,-58.38,-0.68,9931.61,0.68,-10.1719,-10.1635,0.002,1,,
fold_5_oos,MomentumContinuation_v1,2025-09-15,2025-10-06,1,0.0,0.0,-1.3597,-56.93,-0.67,9933.07,0.85,-3.6231,-4.5241,0.0135,1,,
fold_6_oos,MomentumContinuation_v1,2025-10-06,2025-10-27,19,0.4211,1.4223,0.0534,4.58,-1.03,9897.27,5.23,-1.3566,-2.0897,0.12,11,8,
fold_7_oos,MomentumContinuation_v1,2025-10-27,2025-11-17,21,0.1429,0.3428,-0.8046,-43.12,-11.04,8896.07,11.17,-11.6774,-13.9097,0.131,18,3,
fold_8_oos,MomentumContinuation_v1,2025-11-17,2025-12-08,21,0.1905,0.5984,-0.5887,-28.79,-8.07,9193.1,8.4,-9.2119,-11.5177,0.0735,16,4,1
fold_9_oos,MomentumContinuation_v1,2025-12-08,2025-12-29,12,0.0833,0.2676,-0.9906,-50.48,-7.22,9278.03,7.35,-9.9926,-12.5829,0.0885,11,1,
fold_10_oos,MomentumContinuation_v1,2025-12-29,2026-01-18,11,0.2727,0.723,-0.4247,-21.25,-3.43,9657.36,3.9,-5.9326,-7.5957,0.065,8,3,
fold_11_oos,MomentumContinuation_v1,2026-01-18,2026-02-08,21,0.3333,1.1176,-0.1102,-3.1,-2.61,9738.73,6.13,-2.1675,-3.1592,0.073,14,7,
fold_12_oos,MomentumContinuation_v1,2026-02-08,2026-03-01,19,0.2632,0.5648,-0.4098,-31.94,-7.9,9209.76,9.39,-7.5374,-9.9012,0.1885,14,5,
fold_13_oos,MomentumContinuation_v1,2026-03-01,2026-03-22,27,0.2222,0.5287,-0.5543,-32.17,-11.26,8874.39,11.49,-12.0907,-15.0097,0.0845,21,6,
