trade_id,label,direction,entry_time,exit_time,entry_price,exit_price,exit_reason,stop_loss,take_profit,net_pnl,pnl_r,mfe_dollar,mae_dollar,total_fees,impulse_direction,pullback_count_at_entry,bars_since_impulse,atr_at_entry,atr_pct_at_entry,ema_fast_at_entry,ema_slow_at_entry
1,train,long,2024-04-04 14:45:00+00:00,2024-04-04 18:00:00+00:00,67925.936,69222.545,take_profit,67345.9306,69257.1736,180.7851,2.1162,203.8493,-73.2584,20.201,long,2,5,273.0347,0.4022,66457.34,66098.81
2,train,long,2024-04-05 02:00:00+00:00,2024-04-05 02:30:00+00:00,68194.08,67508.3879,stop_loss,67542.1589,69704.6026,-112.392,-1.1554,0.0,-100.5857,20.2494,long,2,4,308.9205,0.4532,67889.91,66839.75
3,train,long,2024-04-08 09:00:00+00:00,2024-04-08 14:30:00+00:00,72003.984,71297.1138,stop_loss,71332.7802,73556.0495,-108.6482,-1.1594,110.8596,-93.9443,20.0078,long,2,5,317.6099,0.4413,69871.67,69103.95
4,train,short,2024-04-10 02:30:00+00:00,2024-04-10 12:30:00+00:00,69033.466,67716.682,take_profit,69622.0778,67682.8406,179.5712,2.1221,211.8332,-69.2274,19.6598,short,2,5,277.0339,0.4011,69326.3,69981.54
5,train,short,2024-04-15 19:00:00+00:00,2024-04-16 21:45:00+00:00,63139.2746,64240.2929,stop_loss,64208.1888,60577.5731,-113.4476,-1.0901,149.8611,-119.3345,12.4015,short,2,6,518.6594,0.821,64908.89,65397.03
6,train,long,2024-04-20 17:15:00+00:00,2024-04-21 16:00:00+00:00,65032.49,64451.6391,stop_loss,64483.8811,66290.2973,-99.0744,-1.1763,101.8023,-92.4169,19.8799,long,2,5,258.0595,0.397,64077.04,63706.18
7,train,long,2024-04-22 15:45:00+00:00,2024-04-22 22:45:00+00:00,65995.9415,67151.7598,take_profit,65474.003,67185.3525,162.9049,2.0858,180.1718,-17.0663,19.9238,long,3,5,244.4785,0.3706,65849.84,65146.06
8,train,short,2024-04-24 16:30:00+00:00,2024-04-24 17:30:00+00:00,64389.3292,65119.0038,stop_loss,65086.4606,62759.2735,-119.8152,-1.1401,6.2304,-115.7189,19.5234,short,2,3,332.4553,0.5161,65974.36,66173.08
9,train,short,2024-04-24 20:00:00+00:00,2024-04-25 00:30:00+00:00,63944.062,64635.1477,stop_loss,64602.8462,62409.0944,-116.8736,-1.1471,52.2726,-123.3206,19.885,short,2,4,313.3931,0.4899,65368.05,65966.77
10,train,short,2024-04-26 14:45:00+00:00,2024-04-27 01:15:00+00:00,64015.976,62594.7442,take_profit,64641.801,62563.4624,207.1907,2.171,247.7705,-22.3448,19.308,short,3,6,296.9055,0.4636,64311.15,64591.33
11,train,short,2024-04-29 04:00:00+00:00,2024-04-29 14:15:00+00:00,62248.5402,62771.1234,stop_loss,62739.7535,61129.4612,-93.656,-1.1916,77.2811,-101.4009,20.003,short,2,3,230.0418,0.3694,63251.06,63533.33
12,train,short,2024-04-30 16:30:00+00:00,2024-04-30 22:30:00+00:00,60242.2338,61042.4046,stop_loss,61011.8986,58423.5835,-114.8379,-1.1189,140.0961,-110.4726,16.1726,short,2,5,369.7593,0.6135,61766.23,62710.64
13,train,long,2024-05-03 03:15:00+00:00,2024-05-03 06:45:00+00:00,59853.912,59300.2921,stop_loss,59329.9571,61059.1073,-99.7716,-1.1698,23.6175,-101.0236,19.396,long,3,4,247.0215,0.4129,59117.04,59015.93
14,train,long,2024-05-03 22:00:00+00:00,2024-05-04 10:45:00+00:00,62769.369,64173.7321,take_profit,62150.866,64205.835,205.6847,2.1668,265.299,-35.0442,19.4825,long,3,6,293.567,0.4679,61434.88,59999.84
15,train,long,2024-05-05 14:45:00+00:00,2024-05-05 20:30:00+00:00,64052.02,63584.9138,stop_loss,63616.7222,65028.2295,-81.4416,-1.2191,91.1542,-72.1186,19.5876,long,2,4,201.6439,0.315,63710.35,62866.2
16,train,short,2024-05-07 19:30:00+00:00,2024-05-08 13:00:00+00:00,63086.6409,62017.7854,take_profit,63570.7492,61986.792,155.2644,2.0798,187.6429,-17.1079,19.2924,short,2,3,226.2796,0.3585,63539.88,63592.7
17,train,short,2024-05-23 22:15:00+00:00,2024-05-24 17:15:00+00:00,67747.5793,68685.4271,stop_loss,68651.1015,65607.3562,-114.3406,-1.114,130.3496,-105.5546,15.4986,short,2,3,434.8208,0.6415,68159.6,69046.56
18,train,long,2024-05-27 17:15:00+00:00,2024-05-27 19:30:00+00:00,70360.8128,69795.0723,stop_loss,69829.9873,71564.7717,-88.174,-1.1973,0.0,-87.5188,19.4452,long,3,6,247.8263,0.3524,69202.96,68934.87
19,train,short,2024-05-29 14:30:00+00:00,2024-05-30 02:30:00+00:00,67632.7067,68203.3544,stop_loss,68169.2698,66409.7156,-91.1924,-1.1906,72.5223,-80.9737,19.3898,short,3,4,251.3649,0.3715,68093.61,68425.56
20,train,long,2024-05-30 19:00:00+00:00,2024-05-30 19:30:00+00:00,69394.8101,68841.4333,stop_loss,68875.8713,70570.7768,-85.7448,-1.199,0.0,-107.182,19.0496,long,2,6,242.1294,0.3491,68429.72,68179.21
21,train,long,2024-06-04 15:15:00+00:00,2024-06-05 01:30:00+00:00,69864.4548,71121.7105,take_profit,69298.4403,71157.2891,160.7375,2.0956,191.1483,-13.8732,19.1056,long,2,4,265.5498,0.3803,69173.93,68825.51
22,train,short,2024-06-11 07:45:00+00:00,2024-06-11 15:30:00+00:00,67666.6597,66505.1368,take_profit,68191.9537,66471.9008,155.5032,2.0846,229.4395,-9.5701,19.0537,short,2,3,245.7218,0.363,68593.82,69268.88
23,train,short,2024-06-13 05:00:00+00:00,2024-06-13 10:45:00+00:00,67294.346,67862.5356,stop_loss,67828.6213,66076.4819,-92.2036,-1.1905,18.3154,-98.1184,19.5927,short,3,5,250.3056,0.3718,68116.54,68214.67
24,train,short,2024-06-18 16:15:00+00:00,2024-06-18 21:15:00+00:00,64433.777,65189.9726,stop_loss,65157.3939,62737.5851,-114.7425,-1.1351,52.2144,-109.3472,18.1076,short,2,5,345.687,0.5362,65245.66,65846.18
25,train,short,2024-06-21 13:30:00+00:00,2024-06-21 14:15:00+00:00,63602.8227,64111.5284,stop_loss,64079.4887,62522.5183,-85.8247,-1.2017,33.4827,-78.9566,19.1353,short,2,5,222.4243,0.3495,64249.5,64872.66
26,train,short,2024-06-21 17:00:00+00:00,2024-06-21 18:45:00+00:00,63625.4514,64210.8083,stop_loss,64178.7189,62353.7177,-96.3166,-1.1741,23.7662,-83.2697,18.9553,short,3,5,260.7145,0.4096,64066.43,64736.76
27,train,long,2024-07-01 19:00:00+00:00,2024-07-01 19:30:00+00:00,63681.815,63199.5493,stop_loss,63231.1648,64697.0529,-79.9835,-1.2104,0.0,-73.1254,18.6051,long,2,5,209.4126,0.329,63100.38,62350.96
