trade_id,label,direction,entry_time,entry_price,entry_signal_price,exit_time,exit_price,exit_reason,stop_loss,take_profit,position_size,entry_fee,exit_fee,total_fees,gross_pnl,net_pnl,pnl_r,mfe_dollar,mae_dollar,equity_before,equity_after,signal_reason
1,train,short,2024-04-14 03:00:00+00:00,63052.6379,63084.18,2024-04-14 22:00:00+00:00,65249.9583,stop_loss,65217.3497,58817.8407,0.0468786,2.9558,3.0588,6.0146,-103.0073,-106.0661,-1.0452,43.0645,-113.0206,10000.0,9890.9781,SHORT resume below prev_low=63248.7 | pullbacks=3 ATR%=1.88%
2,train,short,2024-04-26 20:00:00+00:00,63710.199,63742.05,2024-04-29 06:00:00+00:00,62015.5807,take_profit,64620.7808,61984.5884,0.11255982,7.1712,6.9805,14.1517,190.7459,183.7655,1.7929,201.1522,-74.2671,9890.9781,10067.5723,SHORT resume below prev_low=63943.8 | pullbacks=3 ATR%=0.77%
3,train,short,2024-05-01 16:00:00+00:00,56857.557,56886.0,2024-05-01 18:00:00+00:00,58197.4207,stop_loss,58168.3365,54321.327,0.0785096,4.4639,4.5691,9.0329,-105.1922,-109.7612,-1.0666,18.2509,-204.9448,10067.5723,9953.3472,SHORT resume below prev_low=57101.1 | pullbacks=4 ATR%=1.25%
4,train,long,2024-05-17 20:00:00+00:00,67081.514,67047.99,2024-05-19 19:00:00+00:00,66142.919,stop_loss,66176.007,68791.9561,0.11414611,7.6571,7.55,15.2071,-107.137,-114.6869,-1.1096,70.5978,-139.745,9953.3472,9831.0032,LONG resume above prev_high=66849.0 | pullbacks=2 ATR%=0.72%
5,train,long,2024-05-21 00:00:00+00:00,71482.3433,71446.62,2024-05-21 14:00:00+00:00,70208.9701,stop_loss,70244.0922,73851.6757,0.08175281,5.8439,5.7398,11.5837,-104.1018,-109.8416,-1.0851,40.6031,-105.8358,9831.0032,9715.3177,LONG resume above prev_high=69949.0 | pullbacks=2 ATR%=0.94%
6,train,long,2024-06-04 22:00:00+00:00,70655.32,70620.0,2024-06-07 18:00:00+00:00,69757.1743,stop_loss,69792.0703,72275.8594,0.11734472,8.291,8.1856,16.4767,-105.3927,-113.5783,-1.1212,157.4414,-262.303,9715.3177,9593.4484,LONG resume above prev_high=70550.0 | pullbacks=3 ATR%=0.65%
7,train,short,2024-06-11 14:00:00+00:00,66778.604,66812.0,2024-06-12 04:00:00+00:00,67656.9778,stop_loss,67623.1662,65189.6675,0.11826735,7.8977,8.0016,15.8993,-103.8829,-111.8846,-1.1201,86.0518,-100.088,9593.4484,9473.6661,SHORT resume below prev_low=66790.8 | pullbacks=1 ATR%=0.67%
8,train,short,2024-06-14 23:00:00+00:00,65981.003,66014.01,2024-06-16 22:00:00+00:00,66942.9034,stop_loss,66909.4487,64223.1326,0.10579916,6.9807,7.0825,14.0632,-101.7683,-108.8508,-1.1081,13.1088,-107.6715,9473.6661,9357.8346,SHORT resume below prev_low=65725.8 | pullbacks=4 ATR%=0.75%
9,train,short,2024-06-21 12:00:00+00:00,63738.125,63770.0,2024-06-22 06:00:00+00:00,64509.6028,stop_loss,64477.3641,62355.2718,0.13229162,8.432,8.5341,16.9661,-102.06,-110.5941,-1.1309,47.4629,-104.8391,9357.8346,9238.8085,SHORT resume below prev_low=63814.0 | pullbacks=1 ATR%=0.62%
10,train,short,2024-06-24 03:00:00+00:00,62849.5095,62880.94,2024-06-24 09:00:00+00:00,61958.1128,take_profit,63357.8354,61927.1492,0.14692542,9.2342,9.1032,18.3374,130.9688,121.8656,1.6317,335.3572,-33.4888,9238.8085,9351.4399,SHORT resume below prev_low=62920.0 | pullbacks=1 ATR%=0.42%
11,train,short,2024-06-24 20:00:00+00:00,59277.0666,59306.72,2024-06-25 00:00:00+00:00,60477.2342,stop_loss,60447.0107,57026.1386,0.08200926,4.8613,4.9597,9.821,-98.4249,-103.3845,-1.0775,71.7636,-113.766,9351.4399,9243.1941,SHORT resume below prev_low=59711.2 | pullbacks=2 ATR%=1.07%
12,train,short,2024-07-04 08:00:00+00:00,58190.88,58219.99,2024-07-05 02:00:00+00:00,56278.4153,take_profit,59204.8399,56250.2902,0.09385384,5.4614,5.2819,10.7434,179.4921,174.2102,1.8306,256.4256,-58.4005,9243.1941,9411.9428,SHORT resume below prev_low=58535.8 | pullbacks=2 ATR%=0.94%
13,train,long,2024-07-14 09:00:00+00:00,60232.091,60202.0,2024-07-15 01:00:00+00:00,61648.0651,take_profit,59463.5477,61678.9045,0.12745499,7.6769,7.8574,15.5342,180.473,172.6156,1.7622,199.8378,-97.5567,9411.9428,9576.8816,LONG resume above prev_high=60124.0 | pullbacks=1 ATR%=0.68%
14,train,long,2024-07-16 02:00:00+00:00,64880.494,64848.08,2024-07-16 05:00:00+00:00,63834.7871,stop_loss,63866.7205,66810.7991,0.0975879,6.3316,6.2295,12.5611,-102.0483,-108.2778,-1.0945,11.0719,-138.1448,9576.8816,9462.2722,LONG resume above prev_high=64955.5 | pullbacks=1 ATR%=0.84%
15,train,long,2024-07-16 20:00:00+00:00,65198.0027,65165.43,2024-07-17 16:00:00+00:00,63939.7962,stop_loss,63971.7821,67552.7258,0.07927189,5.1684,5.0686,10.237,-99.7404,-104.809,-1.0782,73.7726,-106.5416,9462.2722,9352.2948,LONG resume above prev_high=64922.3 | pullbacks=1 ATR%=1.02%
16,train,long,2024-07-21 17:00:00+00:00,67587.767,67554.0,2024-07-21 17:00:00+00:00,66887.2162,stop_loss,66920.6765,68820.647,0.13844176,9.357,9.26,18.617,-96.9855,-106.2455,-1.1504,17.3375,-152.7313,9352.2948,9236.6923,LONG resume above prev_high=67500.0 | pullbacks=1 ATR%=0.52%
17,train,long,2024-07-29 03:00:00+00:00,69593.7695,69559.0,2024-07-29 14:00:00+00:00,68725.4637,stop_loss,68759.8437,71157.3127,0.11558054,8.0437,7.9433,15.987,-100.3593,-108.3026,-1.1236,56.1976,-175.8893,9236.6923,9120.346,LONG resume above prev_high=68833.3 | pullbacks=1 ATR%=0.64%
18,train,short,2024-08-02 20:00:00+00:00,62602.2632,62633.57,2024-08-03 18:00:00+00:00,60216.4467,take_profit,63857.1782,60186.3536,0.07453649,4.6662,4.4883,9.1545,177.8304,173.3421,1.8532,180.954,-43.6036,9120.346,9289.022,SHORT resume below prev_low=62784.0 | pullbacks=1 ATR%=1.09%
